area;conversion_tech;year_inv;power_capacity_investment_max;power_capacity_investment_min
DE;wind_onshore;2030;94000.0;94000.0
DK;ccgt;2030;327.9;327.9
DK;coal_pp;2030;2014.5;2014.5
DK;dsr_1;2030;0.0;0.0
DK;dsr_10;2030;0.0;0.0
DK;dsr_2;2030;0.0;0.0
DK;dsr_3;2030;0.0;0.0
DK;dsr_4;2030;0.0;0.0
DK;dsr_5;2030;0.0;0.0
DK;dsr_6;2030;0.0;0.0
DK;dsr_7;2030;0.0;0.0
DK;dsr_8;2030;0.0;0.0
DK;dsr_9;2030;0.0;0.0
DK;electrolysis_2030;2030;2772.0;0.0
DK;hydro_pondage;2030;0.0;0.0
DK;hydro_pondage_h2o_inflow;2030;0.0;0.0
DK;hydro_reservoir;2030;0.0;0.0
DK;hydro_reservoir_h2o_inflow;2030;0.0;0.0
DK;hydro_river;2030;0.0;0.0
DK;lignite_pp;2030;0.0;0.0
DK;nuclear_lte;2030;0.0;0.0
DK;nuclear_new;2030;0.0;0.0
DK;ocgt;2030;;1210.1
DK;oil_pp;2030;700.8;700.8
DK;other_res;2030;0.0;0.0
DK;solar_pv;2030;20000.0;20000.0
DK;wind_offshore;2030;2000.0;2000.0
DK;wind_onshore;2030;5000.0;5000.0
EE;ccgt;2030;0.0;0.0
EE;coal_pp;2030;0.0;0.0
EE;dsr_1;2030;198.0;198.0
EE;dsr_10;2030;0.0;0.0
EE;dsr_2;2030;0.0;0.0
EE;dsr_3;2030;0.0;0.0
EE;dsr_4;2030;0.0;0.0
EE;dsr_5;2030;0.0;0.0
EE;dsr_6;2030;0.0;0.0
EE;dsr_7;2030;0.0;0.0
EE;dsr_8;2030;0.0;0.0
EE;dsr_9;2030;0.0;0.0
EE;electrolysis_2030;2030;0.0;0.0
EE;hydro_pondage;2030;0.0;0.0
EE;hydro_pondage_h2o_inflow;2030;0.0;0.0
EE;hydro_reservoir;2030;0.0;0.0
EE;hydro_reservoir_h2o_inflow;2030;0.0;0.0
EE;hydro_river;2030;0.0;0.0
EE;lignite_pp;2030;0.0;0.0
EE;nuclear_lte;2030;0.0;0.0
EE;nuclear_new;2030;0.0;0.0
EE;ocgt;2030;;385.0
EE;oil_pp;2030;272.0;272.0
EE;other_res;2030;169.0;169.0
EE;solar_pv;2030;1000.0;1000.0
EE;wind_offshore;2030;0.0;0.0
EE;wind_onshore;2030;2000.0;2000.0
ES;ccgt;2030;24559.6;24559.6
ES;coal_pp;2030;0.0;0.0
ES;dsr_1;2030;609.4;609.4
ES;dsr_10;2030;0.0;0.0
ES;dsr_2;2030;0.0;0.0
ES;dsr_3;2030;0.0;0.0
ES;dsr_4;2030;0.0;0.0
ES;dsr_5;2030;0.0;0.0
ES;dsr_6;2030;0.0;0.0
ES;dsr_7;2030;0.0;0.0
ES;dsr_8;2030;0.0;0.0
ES;dsr_9;2030;0.0;0.0
ES;electrolysis_2030;2030;11959.5;0.0
ES;hydro_pondage;2030;0.0;0.0
ES;hydro_pondage_h2o_inflow;2030;0.0;0.0
ES;hydro_reservoir;2030;11536.3;11536.3
ES;hydro_reservoir_h2o_inflow;2030;11536.3;11536.3
ES;hydro_river;2030;3117.9;3117.9
ES;lignite_pp;2030;0.0;0.0
ES;nuclear_lte;2030;5100.1;5100.1
ES;nuclear_new;2030;0.0;0.0
ES;ocgt;2030;;0.0
ES;oil_pp;2030;0.0;0.0
ES;other_res;2030;1962.7;1962.7
ES;solar_pv;2030;72000.0;72000.0
ES;wind_offshore;2030;2000.0;2000.0
ES;wind_onshore;2030;57000.0;57000.0
FI;ccgt;2030;874.0;874.0
FI;coal_pp;2030;1916.0;1916.0
FI;dsr_1;2030;369.9;369.9
FI;dsr_10;2030;0.0;0.0
FI;dsr_2;2030;61.6;61.6
FI;dsr_3;2030;246.6;246.6
FI;dsr_4;2030;308.2;308.2
FI;dsr_5;2030;308.2;308.2
FI;dsr_6;2030;184.9;184.9
FI;dsr_7;2030;184.9;184.9
FI;dsr_8;2030;0.0;0.0
FI;dsr_9;2030;0.0;0.0
FI;electrolysis_2030;2030;1400.0;0.0
FI;hydro_pondage;2030;0.0;0.0
FI;hydro_pondage_h2o_inflow;2030;0.0;0.0
FI;hydro_reservoir;2030;3237.4;3237.4
FI;hydro_reservoir_h2o_inflow;2030;3237.4;3237.4
FI;hydro_river;2030;0.0;0.0
FI;lignite_pp;2030;0.0;0.0
FI;nuclear_lte;2030;2972.0;2972.0
FI;nuclear_new;2030;1600.0;1600.0
FI;ocgt;2030;;274.0
FI;oil_pp;2030;0.0;0.0
FI;other_res;2030;1835.5;1835.5
FI;solar_pv;2030;9000.0;9000.0
FI;wind_offshore;2030;0.0;0.0
FI;wind_onshore;2030;19000.0;19000.0
FR;ccgt;2030;6553.0;6553.0
FR;coal_pp;2030;0.0;0.0
FR;dsr_1;2030;5710.0;5710.0
FR;dsr_10;2030;0.0;0.0
FR;dsr_2;2030;0.0;0.0
FR;dsr_3;2030;0.0;0.0
FR;dsr_4;2030;0.0;0.0
FR;dsr_5;2030;0.0;0.0
FR;dsr_6;2030;0.0;0.0
FR;dsr_7;2030;0.0;0.0
FR;dsr_8;2030;0.0;0.0
FR;dsr_9;2030;0.0;0.0
FR;electrolysis_2030;2030;4500.0;0.0
FR;hydro_pondage;2030;0.0;0.0
FR;hydro_pondage_h2o_inflow;2030;0.0;0.0
FR;hydro_reservoir;2030;9849.0;9849.0
FR;hydro_reservoir_h2o_inflow;2030;9849.0;9849.0
FR;hydro_river;2030;13600.0;13600.0
FR;lignite_pp;2030;0.0;0.0
FR;nuclear_lte;2030;61420.0;61420.0
FR;nuclear_new;2030;1600.0;1600.0
FR;ocgt;2030;5466.0;5466.0
FR;oil_pp;2030;1331.0;1331.0
FR;other_res;2030;1823.0;1823.0
FR;solar_pv;2030;41000.0;41000.0
FR;wind_offshore;2030;3000.0;3000.0
FR;wind_onshore;2030;30000.0;30000.0
GR;ccgt;2030;7571.0;7571.0
GR;coal_pp;2030;0.0;0.0
GR;dsr_1;2030;285.0;285.0
GR;dsr_10;2030;0.0;0.0
GR;dsr_2;2030;0.0;0.0
GR;dsr_3;2030;0.0;0.0
GR;dsr_4;2030;0.0;0.0
GR;dsr_5;2030;0.0;0.0
GR;dsr_6;2030;0.0;0.0
GR;dsr_7;2030;0.0;0.0
GR;dsr_8;2030;0.0;0.0
GR;dsr_9;2030;0.0;0.0
GR;electrolysis_2030;2030;231.2;0.0
GR;hydro_pondage;2030;22.1;22.1
GR;hydro_pondage_h2o_inflow;2030;22.1;22.1
GR;hydro_reservoir;2030;2756.7;2756.7
GR;hydro_reservoir_h2o_inflow;2030;2756.7;2756.7
GR;hydro_river;2030;325.5;325.5
GR;lignite_pp;2030;0.0;0.0
GR;nuclear_lte;2030;0.0;0.0
GR;nuclear_new;2030;0.0;0.0
GR;ocgt;2030;203.0;203.0
GR;oil_pp;2030;143.5;143.5
GR;other_res;2030;78.8;78.8
GR;solar_pv;2030;13000.0;13000.0
GR;wind_offshore;2030;1000.0;1000.0
GR;wind_onshore;2030;8000.0;8000.0
HR;ccgt;2030;747.0;747.0
HR;coal_pp;2030;290.0;290.0
HR;dsr_1;2030;87.0;87.0
HR;dsr_10;2030;0.0;0.0
HR;dsr_2;2030;0.0;0.0
HR;dsr_3;2030;0.0;0.0
HR;dsr_4;2030;0.0;0.0
HR;dsr_5;2030;0.0;0.0
HR;dsr_6;2030;0.0;0.0
HR;dsr_7;2030;0.0;0.0
HR;dsr_8;2030;0.0;0.0
HR;dsr_9;2030;0.0;0.0
HR;electrolysis_2030;2030;671.5;0.0
HR;hydro_pondage;2030;313.3;313.3
HR;hydro_pondage_h2o_inflow;2030;313.3;313.3
HR;hydro_reservoir;2030;1423.3;1423.3
HR;hydro_reservoir_h2o_inflow;2030;1423.3;1423.3
HR;hydro_river;2030;64.9;64.9
HR;lignite_pp;2030;0.0;0.0
HR;nuclear_lte;2030;0.0;0.0
HR;nuclear_new;2030;0.0;0.0
HR;ocgt;2030;;927.0
HR;oil_pp;2030;303.0;303.0
HR;other_res;2030;210.3;210.3
HR;solar_pv;2030;0.0;0.0
HR;wind_offshore;2030;0.0;0.0
HR;wind_onshore;2030;2000.0;2000.0
HU;ccgt;2030;3279.4;3279.4
HU;coal_pp;2030;157.8;157.8
HU;dsr_1;2030;0.0;0.0
HU;dsr_10;2030;0.0;0.0
HU;dsr_2;2030;0.0;0.0
HU;dsr_3;2030;0.0;0.0
HU;dsr_4;2030;0.0;0.0
HU;dsr_5;2030;0.0;0.0
HU;dsr_6;2030;0.0;0.0
HU;dsr_7;2030;0.0;0.0
HU;dsr_8;2030;0.0;0.0
HU;dsr_9;2030;0.0;0.0
HU;electrolysis_2030;2030;240.0;0.0
HU;hydro_pondage;2030;0.0;0.0
HU;hydro_pondage_h2o_inflow;2030;0.0;0.0
HU;hydro_reservoir;2030;0.0;0.0
HU;hydro_reservoir_h2o_inflow;2030;0.0;0.0
HU;hydro_river;2030;63.0;63.0
HU;lignite_pp;2030;0.0;0.0
HU;nuclear_lte;2030;737.0;737.0
HU;nuclear_new;2030;1180.0;1180.0
HU;ocgt;2030;;1341.3
HU;oil_pp;2030;10.0;10.0
HU;other_res;2030;246.7;246.7
HU;solar_pv;2030;13000.0;13000.0
HU;wind_offshore;2030;0.0;0.0
HU;wind_onshore;2030;1000.0;1000.0
IE;ccgt;2030;4799.9;4799.9
IE;coal_pp;2030;0.0;0.0
IE;dsr_1;2030;142.0;142.0
IE;dsr_10;2030;0.0;0.0
IE;dsr_2;2030;0.0;0.0
IE;dsr_3;2030;0.0;0.0
IE;dsr_4;2030;0.0;0.0
IE;dsr_5;2030;0.0;0.0
IE;dsr_6;2030;0.0;0.0
IE;dsr_7;2030;0.0;0.0
IE;dsr_8;2030;0.0;0.0
IE;dsr_9;2030;0.0;0.0
IE;electrolysis_2030;2030;0.0;0.0
IE;hydro_pondage;2030;0.0;0.0
IE;hydro_pondage_h2o_inflow;2030;0.0;0.0
IE;hydro_reservoir;2030;0.0;0.0
IE;hydro_reservoir_h2o_inflow;2030;0.0;0.0
IE;hydro_river;2030;215.0;215.0
IE;lignite_pp;2030;0.0;0.0
IE;nuclear_lte;2030;0.0;0.0
IE;nuclear_new;2030;0.0;0.0
IE;ocgt;2030;;1106.0
IE;oil_pp;2030;208.0;208.0
IE;other_res;2030;0.0;0.0
IE;solar_pv;2030;8000.0;8000.0
IE;wind_offshore;2030;6000.0;6000.0
IE;wind_onshore;2030;9000.0;9000.0
IT;ccgt;2030;0.0;0.0
IT;coal_pp;2030;0.0;0.0
IT;dsr_1;2030;0.0;0.0
IT;dsr_10;2030;0.0;0.0
IT;dsr_2;2030;0.0;0.0
IT;dsr_3;2030;0.0;0.0
IT;dsr_4;2030;0.0;0.0
IT;dsr_5;2030;0.0;0.0
IT;dsr_6;2030;0.0;0.0
IT;dsr_7;2030;0.0;0.0
IT;dsr_8;2030;0.0;0.0
IT;dsr_9;2030;0.0;0.0
IT;electrolysis_2030;2030;0.0;0.0
IT;hydro_pondage;2030;0.0;0.0
IT;hydro_pondage_h2o_inflow;2030;0.0;0.0
IT;hydro_reservoir;2030;0.0;0.0
IT;hydro_reservoir_h2o_inflow;2030;0.0;0.0
IT;hydro_river;2030;0.0;0.0
IT;lignite_pp;2030;0.0;0.0
IT;nuclear_lte;2030;0.0;0.0
IT;nuclear_new;2030;0.0;0.0
IT;ocgt;2030;;0.0
IT;oil_pp;2030;0.0;0.0
IT;other_res;2030;0.0;0.0
IT;solar_pv;2030;0.0;0.0
IT;wind_offshore;2030;0.0;0.0
IT;wind_onshore;2030;0.0;0.0
LT;ccgt;2030;403.0;403.0
LT;coal_pp;2030;0.0;0.0
LT;dsr_1;2030;40.0;40.0
LT;dsr_10;2030;0.0;0.0
LT;dsr_2;2030;0.0;0.0
LT;dsr_3;2030;0.0;0.0
LT;dsr_4;2030;0.0;0.0
LT;dsr_5;2030;0.0;0.0
LT;dsr_6;2030;0.0;0.0
LT;dsr_7;2030;0.0;0.0
LT;dsr_8;2030;0.0;0.0
LT;dsr_9;2030;0.0;0.0
LT;electrolysis_2030;2030;1300.0;0.0
LT;hydro_pondage;2030;0.0;0.0
LT;hydro_pondage_h2o_inflow;2030;0.0;0.0
LT;hydro_reservoir;2030;0.0;0.0
LT;hydro_reservoir_h2o_inflow;2030;0.0;0.0
LT;hydro_river;2030;127.4;127.4
LT;lignite_pp;2030;0.0;0.0
LT;nuclear_lte;2030;0.0;0.0
LT;nuclear_new;2030;0.0;0.0
LT;ocgt;2030;;221.0
LT;oil_pp;2030;0.0;0.0
LT;other_res;2030;210.0;210.0
LT;solar_pv;2030;4000.0;4000.0
LT;wind_offshore;2030;0.0;0.0
LT;wind_onshore;2030;4000.0;4000.0
LU;ccgt;2030;0.0;0.0
LU;coal_pp;2030;0.0;0.0
LU;dsr_1;2030;45.0;45.0
LU;dsr_10;2030;0.0;0.0
LU;dsr_2;2030;0.0;0.0
LU;dsr_3;2030;0.0;0.0
LU;dsr_4;2030;0.0;0.0
LU;dsr_5;2030;0.0;0.0
LU;dsr_6;2030;0.0;0.0
LU;dsr_7;2030;0.0;0.0
LU;dsr_8;2030;0.0;0.0
LU;dsr_9;2030;0.0;0.0
LU;electrolysis_2030;2030;20.0;0.0
LU;hydro_pondage;2030;0.0;0.0
LU;hydro_pondage_h2o_inflow;2030;0.0;0.0
LU;hydro_reservoir;2030;0.0;0.0
LU;hydro_reservoir_h2o_inflow;2030;0.0;0.0
LU;hydro_river;2030;27.0;27.0
LU;lignite_pp;2030;0.0;0.0
LU;nuclear_lte;2030;0.0;0.0
LU;nuclear_new;2030;0.0;0.0
LU;ocgt;2030;;6.5
LU;oil_pp;2030;0.0;0.0
LU;other_res;2030;105.5;105.5
LU;solar_pv;2030;0.0;0.0
LU;wind_offshore;2030;0.0;0.0
LU;wind_onshore;2030;0.0;0.0
LV;ccgt;2030;1051.0;1051.0
LV;coal_pp;2030;0.0;0.0
LV;dsr_1;2030;10.0;10.0
LV;dsr_10;2030;0.0;0.0
LV;dsr_2;2030;20.0;20.0
LV;dsr_3;2030;40.0;40.0
LV;dsr_4;2030;80.0;80.0
LV;dsr_5;2030;0.0;0.0
LV;dsr_6;2030;0.0;0.0
LV;dsr_7;2030;0.0;0.0
LV;dsr_8;2030;0.0;0.0
LV;dsr_9;2030;0.0;0.0
LV;electrolysis_2030;2030;1000.0;0.0
LV;hydro_pondage;2030;1592.0;1592.0
LV;hydro_pondage_h2o_inflow;2030;1592.0;1592.0
LV;hydro_reservoir;2030;0.0;0.0
LV;hydro_reservoir_h2o_inflow;2030;0.0;0.0
LV;hydro_river;2030;0.0;0.0
LV;lignite_pp;2030;0.0;0.0
LV;nuclear_lte;2030;0.0;0.0
LV;nuclear_new;2030;0.0;0.0
LV;ocgt;2030;;0.0
LV;oil_pp;2030;0.0;0.0
LV;other_res;2030;166.0;166.0
LV;solar_pv;2030;1000.0;1000.0
LV;wind_offshore;2030;0.0;0.0
LV;wind_onshore;2030;0.0;0.0
MD;ccgt;2030;0.0;0.0
MD;coal_pp;2030;550.0;550.0
MD;dsr_1;2030;0.0;0.0
MD;dsr_10;2030;0.0;0.0
MD;dsr_2;2030;0.0;0.0
MD;dsr_3;2030;0.0;0.0
MD;dsr_4;2030;0.0;0.0
MD;dsr_5;2030;0.0;0.0
MD;dsr_6;2030;0.0;0.0
MD;dsr_7;2030;0.0;0.0
MD;dsr_8;2030;0.0;0.0
MD;dsr_9;2030;0.0;0.0
MD;electrolysis_2030;2030;0.0;0.0
MD;hydro_pondage;2030;0.0;0.0
MD;hydro_pondage_h2o_inflow;2030;0.0;0.0
MD;hydro_reservoir;2030;0.0;0.0
MD;hydro_reservoir_h2o_inflow;2030;0.0;0.0
MD;hydro_river;2030;16.5;16.5
MD;lignite_pp;2030;0.0;0.0
MD;nuclear_lte;2030;0.0;0.0
MD;nuclear_new;2030;0.0;0.0
MD;ocgt;2030;;780.0
MD;oil_pp;2030;0.0;0.0
MD;other_res;2030;3.4;3.4
MD;solar_pv;2030;0.0;0.0
MD;wind_offshore;2030;0.0;0.0
MD;wind_onshore;2030;0.0;0.0
