conversion_tech;year_op;emission_factor;ramp_up;ramp_down
heatpump;2031;;;
heatpump;2036;;;
heatpump;2041;;;
heatpump;2051;;;
ev;2031;;;
ev;2036;;;
ev;2041;;;
ev;2051;;;
ammonia_ships;2031;;0.002;0.002
ammonia_ships;2036;;0.002;0.002
ammonia_ships;2041;;0.002;0.002
ammonia_ships;2051;;0.002;0.002
mena_imports;2031;;;
mena_imports;2036;;;
mena_imports;2041;;;
mena_imports;2051;;;
ukraine_imports;2031;;0.286;0.286
ukraine_imports;2036;;0.286;0.286
ukraine_imports;2041;;0.286;0.286
ukraine_imports;2051;;0.286;0.286
norway_imports;2031;;0.286;0.286
norway_imports;2036;;0.286;0.286
norway_imports;2041;;0.286;0.286
norway_imports;2051;;0.286;0.286
dsr_1;2031;;;
dsr_1;2036;;;
dsr_1;2041;;;
dsr_1;2051;;;
dsr_2;2031;;;
dsr_2;2036;;;
dsr_2;2041;;;
dsr_2;2051;;;
dsr_3;2031;;;
dsr_3;2036;;;
dsr_3;2041;;;
dsr_3;2051;;;
dsr_4;2031;;;
dsr_4;2036;;;
dsr_4;2041;;;
dsr_4;2051;;;
dsr_5;2031;;;
dsr_5;2036;;;
dsr_5;2041;;;
dsr_5;2051;;;
dsr_6;2031;;;
dsr_6;2036;;;
dsr_6;2041;;;
dsr_6;2051;;;
dsr_7;2031;;;
dsr_7;2036;;;
dsr_7;2041;;;
dsr_7;2051;;;
dsr_8;2031;;;
dsr_8;2036;;;
dsr_8;2041;;;
dsr_8;2051;;;
dsr_9;2031;;;
dsr_9;2036;;;
dsr_9;2041;;;
dsr_9;2051;;;
dsr_10;2031;;;
dsr_10;2036;;;
dsr_10;2041;;;
dsr_10;2051;;;
electrolysis_2030;2032;;;
electrolysis_2030;2037;;;
electrolysis_2030;2042;;;
electrolysis_2030;2052;;;
electrolysis_2035;2032;;;
electrolysis_2035;2037;;;
electrolysis_2035;2042;;;
electrolysis_2035;2052;;;
electrolysis_2040;2032;;;
electrolysis_2040;2037;;;
electrolysis_2040;2042;;;
electrolysis_2040;2052;;;
electrolysis_2050;2032;;;
electrolysis_2050;2037;;;
electrolysis_2050;2042;;;
electrolysis_2050;2052;;;
atr_ccs;2032;0.023;0.286;0.286
atr_ccs;2037;0.023;0.286;0.286
atr_ccs;2042;0.023;0.286;0.286
atr_ccs;2052;0.023;0.286;0.286
smr;2032;0.28;0.04;0.04
smr;2037;0.28;0.04;0.04
smr;2042;0.28;0.04;0.04
smr;2052;0.28;0.04;0.04
e_smr;2032;0.176;0.5;1.0
e_smr;2037;0.176;0.5;1.0
e_smr;2042;0.176;0.5;1.0
e_smr;2052;0.176;0.5;1.0
ccgt;2032;0.342;;
ccgt;2037;0.342;;
ccgt;2042;0.342;;
ccgt;2052;0.342;;
ocgt;2032;0.513;;
ocgt;2037;0.513;;
ocgt;2042;0.513;;
ocgt;2052;0.513;;
coal_pp;2032;0.825;;
coal_pp;2037;0.825;;
coal_pp;2042;0.825;;
coal_pp;2052;0.825;;
lignite_pp;2032;0.983;;
lignite_pp;2037;0.983;;
lignite_pp;2042;0.983;;
lignite_pp;2052;0.983;;
nuclear_lte;2032;0;0.2;0.2
nuclear_lte;2037;0;0.2;0.2
nuclear_lte;2042;0;0.2;0.2
nuclear_lte;2052;0;0.2;0.2
nuclear_new;2032;0;0.2;0.2
nuclear_new;2037;0;0.2;0.2
nuclear_new;2042;0;0.2;0.2
nuclear_new;2052;0;0.2;0.2
oil_pp;2032;0.702;;
oil_pp;2037;0.702;;
oil_pp;2042;0.702;;
oil_pp;2052;0.702;;
ccht;2032;0;;
ccht;2037;0;;
ccht;2042;0;;
ccht;2052;0;;
ocht;2032;0;;
ocht;2037;0;;
ocht;2042;0;;
ocht;2052;0;;
other_res;2032;0;;
other_res;2037;0;;
other_res;2042;0;;
other_res;2052;0;;
biogas_reactor;2032;-0.205;;
biogas_reactor;2037;-0.205;;
biogas_reactor;2042;-0.205;;
biogas_reactor;2052;-0.205;;
lignite_mine;2032;;;
lignite_mine;2037;;;
lignite_mine;2042;;;
lignite_mine;2052;;;
wind_onshore;2032;;;
wind_onshore;2037;;;
wind_onshore;2042;;;
wind_onshore;2052;;;
wind_offshore;2032;;;
wind_offshore;2037;;;
wind_offshore;2042;;;
wind_offshore;2052;;;
solar_pv;2032;;;
solar_pv;2037;;;
solar_pv;2042;;;
solar_pv;2052;;;
solar_rooftop_pv;2032;;;
solar_rooftop_pv;2037;;;
solar_rooftop_pv;2042;;;
solar_rooftop_pv;2052;;;
hydro_river;2032;;;
hydro_river;2037;;;
hydro_river;2042;;;
hydro_river;2052;;;
hydro_reservoir;2032;;;
hydro_reservoir;2037;;;
hydro_reservoir;2042;;;
hydro_reservoir;2052;;;
hydro_pondage;2032;;;
hydro_pondage;2037;;;
hydro_pondage;2042;;;
hydro_pondage;2052;;;
hydro_pondage_h2o_inflow;2032;;;
hydro_pondage_h2o_inflow;2037;;;
hydro_pondage_h2o_inflow;2042;;;
hydro_pondage_h2o_inflow;2052;;;
hydro_reservoir_h2o_inflow;2032;;;
hydro_reservoir_h2o_inflow;2037;;;
hydro_reservoir_h2o_inflow;2042;;;
hydro_reservoir_h2o_inflow;2052;;;
heatpump;2032;;;
heatpump;2037;;;
heatpump;2042;;;
heatpump;2052;;;
ev;2032;;;
ev;2037;;;
ev;2042;;;
ev;2052;;;
ammonia_ships;2032;;0.002;0.002
ammonia_ships;2037;;0.002;0.002
ammonia_ships;2042;;0.002;0.002
ammonia_ships;2052;;0.002;0.002
mena_imports;2032;;;
mena_imports;2037;;;
mena_imports;2042;;;
mena_imports;2052;;;
ukraine_imports;2032;;0.286;0.286
ukraine_imports;2037;;0.286;0.286
ukraine_imports;2042;;0.286;0.286
ukraine_imports;2052;;0.286;0.286
norway_imports;2032;;0.286;0.286
norway_imports;2037;;0.286;0.286
norway_imports;2042;;0.286;0.286
norway_imports;2052;;0.286;0.286
dsr_1;2032;;;
dsr_1;2037;;;
dsr_1;2042;;;
dsr_1;2052;;;
dsr_2;2032;;;
dsr_2;2037;;;
dsr_2;2042;;;
dsr_2;2052;;;
dsr_3;2032;;;
dsr_3;2037;;;
dsr_3;2042;;;
dsr_3;2052;;;
dsr_4;2032;;;
dsr_4;2037;;;
dsr_4;2042;;;
dsr_4;2052;;;
dsr_5;2032;;;
dsr_5;2037;;;
dsr_5;2042;;;
dsr_5;2052;;;
dsr_6;2032;;;
dsr_6;2037;;;
dsr_6;2042;;;
dsr_6;2052;;;
dsr_7;2032;;;
dsr_7;2037;;;
dsr_7;2042;;;
dsr_7;2052;;;
dsr_8;2032;;;
dsr_8;2037;;;
dsr_8;2042;;;
dsr_8;2052;;;
dsr_9;2032;;;
dsr_9;2037;;;
dsr_9;2042;;;
dsr_9;2052;;;
dsr_10;2032;;;
dsr_10;2037;;;
dsr_10;2042;;;
dsr_10;2052;;;
electrolysis_2030;2033;;;
electrolysis_2030;2038;;;
electrolysis_2030;2043;;;
electrolysis_2030;2053;;;
electrolysis_2035;2033;;;
electrolysis_2035;2038;;;
electrolysis_2035;2043;;;
electrolysis_2035;2053;;;
electrolysis_2040;2033;;;
electrolysis_2040;2038;;;
electrolysis_2040;2043;;;
electrolysis_2040;2053;;;
electrolysis_2050;2033;;;
electrolysis_2050;2038;;;
electrolysis_2050;2043;;;
electrolysis_2050;2053;;;
atr_ccs;2033;0.023;0.286;0.286
atr_ccs;2038;0.023;0.286;0.286
atr_ccs;2043;0.023;0.286;0.286
atr_ccs;2053;0.023;0.286;0.286
smr;2033;0.28;0.04;0.04
smr;2038;0.28;0.04;0.04
smr;2043;0.28;0.04;0.04
smr;2053;0.28;0.04;0.04
e_smr;2033;0.176;0.5;1.0
e_smr;2038;0.176;0.5;1.0
e_smr;2043;0.176;0.5;1.0
e_smr;2053;0.176;0.5;1.0
ccgt;2033;0.342;;
ccgt;2038;0.342;;
ccgt;2043;0.342;;
ccgt;2053;0.342;;
ocgt;2033;0.513;;
ocgt;2038;0.513;;
ocgt;2043;0.513;;
ocgt;2053;0.513;;
coal_pp;2033;0.825;;
coal_pp;2038;0.825;;
coal_pp;2043;0.825;;
coal_pp;2053;0.825;;
lignite_pp;2033;0.983;;
lignite_pp;2038;0.983;;
lignite_pp;2043;0.983;;
lignite_pp;2053;0.983;;
nuclear_lte;2033;0;0.2;0.2
nuclear_lte;2038;0;0.2;0.2
nuclear_lte;2043;0;0.2;0.2
nuclear_lte;2053;0;0.2;0.2
nuclear_new;2033;0;0.2;0.2
nuclear_new;2038;0;0.2;0.2
nuclear_new;2043;0;0.2;0.2
nuclear_new;2053;0;0.2;0.2
oil_pp;2033;0.702;;
oil_pp;2038;0.702;;
oil_pp;2043;0.702;;
oil_pp;2053;0.702;;
ccht;2033;0;;
ccht;2038;0;;
ccht;2043;0;;
ccht;2053;0;;
ocht;2033;0;;
ocht;2038;0;;
ocht;2043;0;;
ocht;2053;0;;
other_res;2033;0;;
other_res;2038;0;;
other_res;2043;0;;
other_res;2053;0;;
biogas_reactor;2033;-0.205;;
biogas_reactor;2038;-0.205;;
biogas_reactor;2043;-0.205;;
biogas_reactor;2053;-0.205;;
lignite_mine;2033;;;
lignite_mine;2038;;;
lignite_mine;2043;;;
lignite_mine;2053;;;
wind_onshore;2033;;;
wind_onshore;2038;;;
wind_onshore;2043;;;
wind_onshore;2053;;;
wind_offshore;2033;;;
wind_offshore;2038;;;
wind_offshore;2043;;;
wind_offshore;2053;;;
solar_pv;2033;;;
solar_pv;2038;;;
solar_pv;2043;;;
solar_pv;2053;;;
solar_rooftop_pv;2033;;;
solar_rooftop_pv;2038;;;
solar_rooftop_pv;2043;;;
solar_rooftop_pv;2053;;;
hydro_river;2033;;;
hydro_river;2038;;;
hydro_river;2043;;;
hydro_river;2053;;;
hydro_reservoir;2033;;;
hydro_reservoir;2038;;;
hydro_reservoir;2043;;;
hydro_reservoir;2053;;;
hydro_pondage;2033;;;
hydro_pondage;2038;;;
hydro_pondage;2043;;;
hydro_pondage;2053;;;
hydro_pondage_h2o_inflow;2033;;;
hydro_pondage_h2o_inflow;2038;;;
hydro_pondage_h2o_inflow;2043;;;
hydro_pondage_h2o_inflow;2053;;;
hydro_reservoir_h2o_inflow;2033;;;
hydro_reservoir_h2o_inflow;2038;;;
hydro_reservoir_h2o_inflow;2043;;;
hydro_reservoir_h2o_inflow;2053;;;
heatpump;2033;;;
heatpump;2038;;;
heatpump;2043;;;
heatpump;2053;;;
ev;2033;;;
ev;2038;;;
ev;2043;;;
ev;2053;;;
