area;year_inv;storage_tech;energy_capacity_investment_max;energy_capacity_investment_min;power_capacity_investment_max;power_capacity_investment_min
SE;2050;PHS;0.0;0.0;0.0;0.0
SI;2050;PHS;2000.0;2000.0;233.0;233.0
SK;2050;PHS;0.0;0.0;0.0;0.0
TR;2050;PHS;0.0;0.0;0.0;0.0
UA;2050;PHS;0.0;0.0;-324.0;-324.0
UK;2050;PHS;0.0;0.0;0.0;0.0
AL;2030;battery;0.0;0.0;0.0;0.0
AT;2030;battery;9999.98;9999.98;4999.99;4999.99
BA;2030;battery;0.0;0.0;0.0;0.0
BE;2030;battery;7391.4873639;7391.4873639;2327.6911765;2327.6911765
BG;2030;battery;2680.0;2680.0;1120.0;1120.0
CH;2030;battery;1150.0;1150.0;2297.0;2297.0
CY;2030;battery;400.0;400.0;160.0;160.0
CZ;2030;battery;3445.2;3445.2;1722.6;1722.6
DE;2030;battery;100750.9799967;100750.9799967;48135.24000019999;48135.24000019999
DK;2030;battery;17014.600000000002;17014.600000000002;727.3;727.3
EE;2030;battery;2000.0;2000.0;1000.0;1000.0
ES;2030;battery;19387.04;19387.04;7675.52;7675.52
FI;2030;battery;6222.2;6222.2;3111.1;3111.1
FR;2030;battery;0.0;0.0;0.0;0.0
GR;2030;battery;11005.0;11005.0;4325.0;4325.0
HR;2030;battery;66.0;66.0;66.0;66.0
HU;2030;battery;1410.0004666;1410.0004666;657.41490003;657.41490003
IE;2030;battery;17875.0;17875.0;3742.2;3742.2
IT;2030;battery;0.0;0.0;0.0;0.0
LT;2030;battery;4205.7;4205.7;1300.0;1300.0
LU;2030;battery;25.0;25.0;25.0;25.0
LV;2030;battery;440.0;440.0;220.0;220.0
MD;2030;battery;0.0;0.0;0.0;0.0
ME;2030;battery;0.0;0.0;0.0;0.0
MK;2030;battery;320.0;320.0;80.0;80.0
MT;2030;battery;84.0;84.0;40.0;40.0
NL;2030;battery;52717.00000000001;52717.00000000001;9130.0;9130.0
NO;2030;battery;0.0;0.0;0.0;0.0
PL;2030;battery;26992.0;26992.0;6110.0;6110.0
PT;2030;battery;8000.0;8000.0;2000.0;2000.0
RO;2030;battery;3999.9999997;3999.9999997;2000.0;2000.0
RS;2030;battery;1978.56;1978.56;604.49;604.49
SE;2030;battery;1428.12;1428.12;200.0;200.0
SI;2030;battery;659.850000003;659.850000003;366.58333333;366.58333333
SK;2030;battery;779.0;779.0;386.0;386.0
TR;2030;battery;0.0;0.0;0.0;0.0
UA;2030;battery;0.0;0.0;0.0;0.0
UK;2030;battery;46889.78;46889.78;25325.37;25325.37
GR;2035;battery;5040.0;;1260.0;
SI;2035;battery;2844.0;;711.0;
IT;2035;battery;1140.0;;285.0;
FI;2035;battery;4000.0;;1000.0;
BE;2035;battery;9368.0;;2342.0;
AL;2030;salt_cavern;0.0;0.0;0.0;0.0
AT;2030;salt_cavern;0.0;0.0;0.0;0.0
BA;2030;salt_cavern;0.0;0.0;0.0;0.0
BE;2030;salt_cavern;0.0;0.0;0.0;0.0
BG;2030;salt_cavern;0.0;0.0;0.0;0.0
CH;2030;salt_cavern;0.0;0.0;0.0;0.0
CY;2030;salt_cavern;0.0;0.0;0.0;0.0
CZ;2030;salt_cavern;0.0;0.0;0.0;0.0
DE;2030;salt_cavern;0.0;0.0;0.0;0.0
DK;2030;salt_cavern;0.0;0.0;0.0;0.0
EE;2030;salt_cavern;0.0;0.0;0.0;0.0
ES;2030;salt_cavern;0.0;0.0;0.0;0.0
FI;2030;salt_cavern;0.0;0.0;0.0;0.0
FR;2030;salt_cavern;0.0;0.0;0.0;0.0
GR;2030;salt_cavern;0.0;0.0;0.0;0.0
HR;2030;salt_cavern;0.0;0.0;0.0;0.0
HU;2030;salt_cavern;0.0;0.0;0.0;0.0
IE;2030;salt_cavern;0.0;0.0;0.0;0.0
IT;2030;salt_cavern;0.0;0.0;0.0;0.0
LT;2030;salt_cavern;0.0;0.0;0.0;0.0
LU;2030;salt_cavern;0.0;0.0;0.0;0.0
LV;2030;salt_cavern;0.0;0.0;0.0;0.0
MD;2030;salt_cavern;0.0;0.0;0.0;0.0
ME;2030;salt_cavern;0.0;0.0;0.0;0.0
MK;2030;salt_cavern;0.0;0.0;0.0;0.0
MT;2030;salt_cavern;0.0;0.0;0.0;0.0
NL;2030;salt_cavern;0.0;0.0;0.0;0.0
NO;2030;salt_cavern;0.0;0.0;0.0;0.0
PL;2030;salt_cavern;0.0;0.0;0.0;0.0
PT;2030;salt_cavern;0.0;0.0;0.0;0.0
RO;2030;salt_cavern;0.0;0.0;0.0;0.0
RS;2030;salt_cavern;0.0;0.0;0.0;0.0
SE;2030;salt_cavern;0.0;0.0;0.0;0.0
SI;2030;salt_cavern;0.0;0.0;0.0;0.0
SK;2030;salt_cavern;0.0;0.0;0.0;0.0
TR;2030;salt_cavern;0.0;0.0;0.0;0.0
UA;2030;salt_cavern;0.0;0.0;0.0;0.0
UK;2030;salt_cavern;0.0;0.0;0.0;0.0
AL;2035;salt_cavern;0.0;0.0;0.0;0.0
AT;2035;salt_cavern;0.0;0.0;0.0;0.0
BA;2035;salt_cavern;0.0;0.0;0.0;0.0
BE;2035;salt_cavern;0.0;0.0;0.0;0.0
BG;2035;salt_cavern;0.0;0.0;0.0;0.0
CH;2035;salt_cavern;0.0;0.0;0.0;0.0
CY;2035;salt_cavern;0.0;0.0;0.0;0.0
