area;year_op;resource;conservation_hrs;ramp_up;ramp_down;maxload_ratio;minload_ratio
BG;2050;hydrogen;24;;;20.0;0.0
CH;2050;hydrogen;24;;;20.0;0.0
CY;2050;hydrogen;24;;;20.0;0.0
CZ;2050;hydrogen;24;;;20.0;0.0
DE;2050;hydrogen;24;;;20.0;0.0
DK;2050;hydrogen;24;;;20.0;0.0
EE;2050;hydrogen;24;;;20.0;0.0
ES;2050;hydrogen;24;;;20.0;0.0
FI;2050;hydrogen;24;;;20.0;0.0
FR;2050;hydrogen;24;;;20.0;0.0
GR;2050;hydrogen;24;;;20.0;0.0
HR;2050;hydrogen;24;;;20.0;0.0
HU;2050;hydrogen;24;;;20.0;0.0
IE;2050;hydrogen;24;;;20.0;0.0
IT;2050;hydrogen;24;;;20.0;0.0
LT;2050;hydrogen;24;;;20.0;0.0
LU;2050;hydrogen;24;;;20.0;0.0
LV;2050;hydrogen;24;;;20.0;0.0
MD;2050;hydrogen;24;;;20.0;0.0
ME;2050;hydrogen;24;;;20.0;0.0
MK;2050;hydrogen;24;;;20.0;0.0
MT;2050;hydrogen;24;;;20.0;0.0
NL;2050;hydrogen;24;;;20.0;0.0
NO;2050;hydrogen;24;;;20.0;0.0
PL;2050;hydrogen;24;;;20.0;0.0
PT;2050;hydrogen;24;;;20.0;0.0
RO;2050;hydrogen;24;;;20.0;0.0
RS;2050;hydrogen;24;;;20.0;0.0
SE;2050;hydrogen;24;;;20.0;0.0
SI;2050;hydrogen;24;;;20.0;0.0
SK;2050;hydrogen;24;;;20.0;0.0
TR;2050;hydrogen;24;;;20.0;0.0
UA;2050;hydrogen;24;;;20.0;0.0
UK;2050;hydrogen;24;;;20.0;0.0
