area;year_op;conversion_tech;max_yearly_production;max_daily_production;power_capacity_max;power_capacity_min;fixed_cost;variable_cost;must_run
AT;2030;hydro_river;;;;;130000.0;;1.0
AT;2035;hydro_river;;;5414.8;5414.8;130000.0;;1.0
AT;2040;hydro_river;;;5423.8;5423.8;130000.0;;1.0
AT;2050;hydro_river;;;5423.8;5423.8;130000.0;;1.0
AT;2030;hydro_reservoir;;;;;130000.0;;
AT;2035;hydro_reservoir;;;2559.0;2559.0;130000.0;;
AT;2040;hydro_reservoir;;;2559.0;2559.0;130000.0;;
AT;2050;hydro_reservoir;;;2559.0;2559.0;130000.0;;
AT;2030;hydro_pondage;;;;;130000.0;;
AT;2035;hydro_pondage;;;1150.0;1150.0;130000.0;;
AT;2040;hydro_pondage;;;1150.0;1150.0;130000.0;;
AT;2050;hydro_pondage;;;1150.0;1150.0;130000.0;;
AT;2030;hydro_pondage_h2o_inflow;;;;;0.0;;1.0
AT;2035;hydro_pondage_h2o_inflow;;;1150.0;1150.0;0.0;;1.0
AT;2040;hydro_pondage_h2o_inflow;;;1150.0;1150.0;0.0;;1.0
AT;2050;hydro_pondage_h2o_inflow;;;1150.0;1150.0;0.0;;1.0
AT;2030;hydro_reservoir_h2o_inflow;;;;;0.0;;1.0
AT;2035;hydro_reservoir_h2o_inflow;;;2559.0;2559.0;0.0;;1.0
AT;2040;hydro_reservoir_h2o_inflow;;;2559.0;2559.0;0.0;;1.0
AT;2050;hydro_reservoir_h2o_inflow;;;2559.0;2559.0;0.0;;1.0
AT;2030;heatpump;;;;;;;
AT;2035;heatpump;;;;;;;
AT;2040;heatpump;;;;;;;
AT;2050;heatpump;;;;;;;
AT;2030;ev;;;;;;;
AT;2035;ev;;;;;;;
AT;2040;ev;;;;;;;
AT;2050;ev;;;;;;;
AT;2030;ammonia_ships;;;0.0;;13366.0;;0.7
AT;2035;ammonia_ships;;;0.0;;12170.0;;0.7
AT;2040;ammonia_ships;;;0.0;;11365.0;;0.7
AT;2050;ammonia_ships;;;0.0;;10301.0;;0.7
AT;2030;mena_imports;;;0.0;;980.0;;0.5
AT;2035;mena_imports;;;0.0;;980.0;;0.5
AT;2040;mena_imports;;;0.0;;980.0;;0.5
AT;2050;mena_imports;;;0.0;;980.0;;0.5
AT;2030;ukraine_imports;;;0.0;;980.0;;0.7
AT;2035;ukraine_imports;;;0.0;;980.0;;0.7
AT;2040;ukraine_imports;;;0.0;;980.0;;0.7
AT;2050;ukraine_imports;;;0.0;;980.0;;0.7
AT;2030;norway_imports;;;0.0;;980.0;;0.7
AT;2035;norway_imports;;;0.0;;980.0;;0.7
AT;2040;norway_imports;;;0.0;;980.0;;0.7
AT;2050;norway_imports;;;0.0;;980.0;;0.7
AT;2030;dsr_1;;17040.0;710.0;710.0;;500.0;
AT;2035;dsr_1;;24000.0;1000.0;1000.0;;500.0;
AT;2040;dsr_1;;16800.0;700.0;700.0;;500.0;
AT;2050;dsr_1;;16800.0;700.0;700.0;;500.0;
AT;2030;dsr_2;;;0.0;;;;
AT;2035;dsr_2;;;0.0;;;;
AT;2040;dsr_2;;;0.0;;;;
AT;2050;dsr_2;;;0.0;;;;
AT;2030;dsr_3;;;0.0;;;;
AT;2035;dsr_3;;;0.0;;;;
AT;2040;dsr_3;;;0.0;;;;
AT;2050;dsr_3;;;0.0;;;;
AT;2030;dsr_4;;;0.0;;;;
AT;2035;dsr_4;;;0.0;;;;
AT;2040;dsr_4;;;0.0;;;;
AT;2050;dsr_4;;;0.0;;;;
AT;2030;dsr_5;;;0.0;;;;
AT;2035;dsr_5;;;0.0;;;;
AT;2040;dsr_5;;;0.0;;;;
AT;2050;dsr_5;;;0.0;;;;
AT;2030;dsr_6;;;0.0;;;;
AT;2035;dsr_6;;;0.0;;;;
AT;2040;dsr_6;;;0.0;;;;
AT;2050;dsr_6;;;0.0;;;;
AT;2030;dsr_7;;;0.0;;;;
AT;2035;dsr_7;;;0.0;;;;
AT;2040;dsr_7;;;0.0;;;;
AT;2050;dsr_7;;;0.0;;;;
AT;2030;dsr_8;;;0.0;;;;
AT;2035;dsr_8;;;0.0;;;;
AT;2040;dsr_8;;;0.0;;;;
AT;2050;dsr_8;;;0.0;;;;
AT;2030;dsr_9;;;0.0;;;;
AT;2035;dsr_9;;;0.0;;;;
AT;2040;dsr_9;;;0.0;;;;
AT;2050;dsr_9;;;0.0;;;;
AT;2030;dsr_10;;;0.0;;;;
AT;2035;dsr_10;;;0.0;;;;
AT;2040;dsr_10;;;0.0;;;;
AT;2050;dsr_10;;;0.0;;;;
BA;2030;electrolysis_2030;;;;;53200.0;0.0;0.0
BA;2035;electrolysis_2030;;;;;53200.0;0.0;0.0
BA;2040;electrolysis_2030;;;;;53200.0;0.0;0.0
BA;2050;electrolysis_2030;;;;;53200.0;0.0;0.0
BA;2030;electrolysis_2035;;;;;47600.0;0.0;0.0
BA;2035;electrolysis_2035;;;;;47600.0;0.0;0.0
BA;2040;electrolysis_2035;;;;;47600.0;0.0;0.0
BA;2050;electrolysis_2035;;;;;47600.0;0.0;0.0
BA;2030;electrolysis_2040;;;;;42000.0;0.0;0.0
BA;2035;electrolysis_2040;;;;;42000.0;0.0;0.0
BA;2040;electrolysis_2040;;;;;42000.0;0.0;0.0
BA;2050;electrolysis_2040;;;;;42000.0;0.0;0.0
BA;2030;electrolysis_2050;;;;;36400.0;0.0;0.0
BA;2035;electrolysis_2050;;;;;36400.0;0.0;0.0
BA;2040;electrolysis_2050;;;;;36400.0;0.0;0.0
BA;2050;electrolysis_2050;;;;;36400.0;0.0;0.0
BA;2030;atr_ccs;;;0.0;;108000.0;3.1;0.0
BA;2035;atr_ccs;;;0.0;;108000.0;3.1;0.0
BA;2040;atr_ccs;;;0.0;;108000.0;3.1;0.0
BA;2050;atr_ccs;;;0.0;;108000.0;3.1;0.0
BA;2030;smr;;;0.0;;198000.0;0.0;0.0
BA;2035;smr;;;0.0;;198000.0;0.0;0.0
BA;2040;smr;;;0.0;;198000.0;0.0;0.0
